Race,Program,Horse,Surface,RaceType,Distance_yards,BrisRelated_dmrd,BrisRelated_sarm,EarlySpeed,HC_1stongrass,HC_ShipperToUS,IAucPri_keeA25,IJKYe_kta13,JCK_PY_WPS,KS_itmm_26,LastWOatTT,PPt12,ShowedLateSP_LR,StretchBL_LR26,Weight_LR,WinsatDist26,XBPPR_tc12_3,baseprob2,brisAW_c,eps4dalt_sard,iJCK_StrtCM,iworkoutpctrnk1_ckta13,lrclass_kma13,ltstr_sart,xBRISRunstyle_EP,xBRISSpeedAWc_keeod,xJCK_CMWPS26,xNumDaysSinceLRcut,xNumDaysSinceLRcut2,xNumEntLast5,xNumEntLast5cut,xPostPosition,xR309c,xdaysoff26,xdrfsp1m_sard,xsexcolt0425,xturffy_last5,xwrkdate_kaaw13,log_odds_s,predicted_s,log_odds_r,predicted_r,log_odds_hp,predicted_hp,log_odds_lp,predicted_lp,predicted_ensemble
8,5.000000,MASTER CONTROLLER,T,A,1760,-6.666667,-5.000000,2.553993,0,0,0.324074,0.250000,-0.091115,-0.012027,0,-3.000000,0,4.433333,2.866667,0.000000,387.696100,0.066667,-0.015000,2.724890,0.096154,1.685295,2.066667,0.724138,0.600000,-3.333333,0.218375,26.466667,26.466667,-6.652381,-6.652381,-3.000000,-0.266667,55.707692,-5.200000,3,-3.800000,-14.000000,-4.582946,0.010121,-2.965812,0.048994,-3.631323,0.025798,-3.225212,0.038228,0.030785
8,6.000000,MASTER OF LIGHT,T,A,1760,-5.000000,0.000000,-9.880000,0,0,0.237654,0.250000,-0.051182,-0.026858,0,-2.000000,0,2.433333,-3.133333,0.000000,117.072400,0.066667,-0.015000,2.080016,0.673077,1.441863,0.066667,0.310345,-0.400000,-8.000000,-0.138768,-24.533333,-24.533333,-0.866667,-0.866667,-2.000000,-0.266667,40.000000,3.800000,-2,0.200000,16.000000,-4.064853,0.016876,-3.685770,0.024464,-3.817038,0.021520,-3.961123,0.018686,0.020386
8,7.000000,TWO BEERS BY TEN,T,A,1760,-0.844444,-3.600000,0.153993,0,0,0.302469,3.000000,0.154308,0.030771,0,-1.000000,0,-1.066667,5.866667,0.000000,950.488900,0.066667,0.030000,1.566627,2.500000,0.505588,2.066667,2.379310,0.600000,4.666667,0.301708,-3.533333,-3.533333,-0.652381,-0.652381,-1.000000,-0.266667,-23.692308,2.800000,-2,2.200000,36.000000,-1.933474,0.126367,-1.955421,0.123963,-2.869293,0.053693,-1.828839,0.138377,0.110600
8,8.000000,SUMOOD,T,A,1760,8.666667,0.000000,1.553993,0,0,1.000000,3.000000,0.107976,0.077657,0,0.000000,0,-1.566667,-3.133333,0.000000,1255.284900,0.066667,0.030000,5.568832,2.403846,0.235941,0.066667,0.620690,-0.400000,8.000000,0.158375,-16.533333,-16.533333,6.347619,6.347619,0.000000,2.733333,21.107692,-8.200000,-2,0.200000,22.000000,-0.098268,0.475453,-0.625456,0.348541,-1.368433,0.202873,-0.256850,0.436138,0.365751
8,9.000000,CINISTER CIX,T,A,1760,3.333333,2.000000,6.553993,0,0,1.000000,0.639417,0.015334,-0.042309,0,1.000000,0,-5.066667,-3.133333,0.000000,454.968900,0.066667,-0.015000,4.408093,0.288462,0.643476,0.066667,1.344828,0.600000,2.666667,0.051708,-24.533333,-24.533333,-4.652381,-4.652381,1.000000,-0.266667,-26.892308,6.800000,3,-1.800000,-2.000000,-3.091662,0.043452,-2.143789,0.104913,-2.279036,0.092874,-2.571162,0.071018,0.078064
8,10.000000,JIMMY RULES,T,A,1760,6.666667,0.000000,0.153993,0,0,1.000000,0.250000,-0.017955,-0.047947,0,2.000000,0,1.183333,2.866667,0.000000,292.752100,0.066667,0.030000,2.072270,0.673077,1.179706,1.066667,1.034483,-0.400000,6.666667,-0.067339,-30.533333,-30.533333,4.347619,4.347619,2.000000,-0.266667,40.507692,-3.200000,-2,-1.800000,13.000000,-3.040911,0.045612,-3.825611,0.021340,-2.940519,0.050187,-3.442755,0.030986,0.037031
8,11.000000,SHERIFF BART,T,A,1760,1.900000,1.900000,2.153993,0,0,1.000000,3.000000,0.022889,0.021850,1,3.000000,0,-0.066667,-1.133333,3.000000,639.078400,0.066667,0.000000,3.954138,1.394231,0.786471,0.066667,0.517241,0.600000,0.000000,0.132168,-10.533333,-10.533333,3.347619,3.347619,3.000000,0.733333,-3.892308,7.800000,3,4.200000,14.000000,-1.650486,0.161043,-1.213851,0.229020,-1.335462,0.208257,-1.264807,0.220147,0.204617
8,12.000000,SHOW OF FORCE,T,A,1760,1.822222,4.400000,6.153993,0,0,0.237654,0.250000,-0.017430,-0.015381,1,4.000000,0,0.933333,2.866667,3.000000,259.210000,0.066667,-0.015000,1.704971,1.490385,1.641331,2.066667,1.448276,0.600000,-3.333333,-0.023560,40.466667,40.466667,5.347619,5.347619,4.000000,-0.266667,-17.092308,-6.200000,3,-1.800000,22.000000,-2.468246,0.078114,-3.439776,0.031075,-2.884019,0.052949,-3.649503,0.025345,0.046871
8,13.000000,B B PRINCE,T,A,1760,0.333333,2.000000,-10.000000,0,0,1.000000,0.250000,-0.031685,-0.006871,0,5.000000,0,-0.316667,3.866667,3.000000,143.280900,0.066667,-0.015000,2.789944,0.144231,0.150000,-5.933333,0.724138,-0.400000,-3.333333,-0.281625,-0.533333,-0.533333,4.347619,4.347619,5.000000,-0.266667,-6.492308,-7.200000,-2,0.200000,-9.000000,-3.365782,0.033382,-3.632618,0.025765,-3.083776,0.043781,-4.088517,0.016488,0.029854
8,14.000000,TAUNTING,T,A,1760,-4.666667,-2.500000,-2.046007,0,0,1.000000,0.250000,-0.051182,-0.083710,0,5.000000,0,-0.816667,3.866667,3.000000,64.480900,0.066667,-0.015000,1.620847,0.673077,0.393235,-5.933333,1.344828,0.600000,-4.333333,-0.138768,-0.533333,-0.533333,2.347619,2.347619,6.000000,-0.266667,-11.492308,-8.200000,3,-1.800000,8.000000,-4.143275,0.015623,-3.481508,0.029843,-4.129363,0.015838,-4.118209,0.016013,0.019329
8,15.000000,SHURE,T,A,1760,5.666667,0.000000,4.553993,1,0,1.000000,0.250000,-0.000416,0.133119,0,5.000000,0,-5.066667,-1.133333,0.000000,605.160000,0.066667,0.030000,2.938189,0.000000,1.048628,-1.933333,0.517241,-0.400000,5.666667,0.000000,-10.533333,-10.533333,-6.652381,-6.652381,7.000000,-0.266667,-10.492308,6.800000,-2,-3.800000,-40.000000,-3.270998,0.036580,-3.761608,0.022718,-1.513933,0.180357,-3.266534,0.036737,0.069098
10,1.000000,REB FIVE,T,N,1210,2.125000,1.375000,-5.833333,0,0,0.278219,2.007944,0.063027,-0.017932,1,-3.500000,0,0.108750,-1.750000,1.000000,980.237827,0.125000,-0.015000,4.089683,1.697959,1.294852,1.375000,1.333333,-0.500000,1.500000,0.157177,-43.500000,-43.500000,-1.375000,-1.375000,-3.500000,-0.250000,-9.850000,-0.500000,3,-3.500000,-40.000000,-0.998946,0.269149,-1.508764,0.181122,-2.013988,0.117742,-1.520745,0.179352,0.186841
10,2.000000,THROCKMORTON,T,N,1210,2.125000,1.375000,1.166667,0,0,1.391097,0.456916,-0.035521,-0.013836,1,-2.500000,0,-1.891250,0.250000,0.000000,877.862827,0.125000,-0.015000,2.819331,0.881633,1.077230,1.375000,1.333333,0.500000,1.500000,-0.123449,-43.500000,-43.500000,-7.375000,-7.375000,-2.500000,-0.250000,3.350000,-0.500000,3,-1.500000,-11.000000,-2.069562,0.112091,-1.735032,0.149945,-2.325408,0.089040,-2.016261,0.117506,0.117146
10,3.000000,TWILIGHT DELIGHT,T,N,1210,4.750000,2.375000,1.800000,0,0,1.000000,0.399327,-0.034181,-0.085885,0,-1.500000,1,-0.891250,2.250000,1.000000,466.506002,0.125000,0.000000,3.192198,0.326531,1.248608,-5.625000,0.666667,0.500000,0.000000,0.080254,100.000000,153.500000,5.375000,5.375000,-1.500000,-0.250000,40.000000,8.500000,3,2.500000,32.000000,-1.695212,0.155092,-1.291125,0.215662,-1.270946,0.219095,-1.414199,0.195573,0.196355
10,4.000000,SANDAL'S SONG,T,N,1210,3.750000,1.875000,-0.600000,0,0,0.417329,1.654265,0.089544,-0.002918,0,-0.500000,0,7.108750,0.250000,1.000000,851.983127,0.125000,0.000000,1.946585,1.959184,1.000000,1.375000,0.666667,-0.500000,0.000000,0.163588,-43.500000,-43.500000,6.375000,6.375000,-0.500000,0.750000,40.000000,-7.500000,3,2.500000,10.000000,-0.847010,0.300060,-1.711952,0.152911,-2.502459,0.075686,-1.398138,0.198112,0.181692
10,5.000000,REBEL WITH A CAUSE,T,N,1210,-4.875000,-3.125000,-1.800000,0,0,0.055644,1.556550,0.043212,0.004413,0,0.500000,0,-2.261250,2.250000,1.000000,250.232852,0.125000,-0.015000,2.276340,1.632653,0.605386,-1.625000,0.666667,0.500000,-3.500000,0.020254,1.500000,1.500000,0.375000,0.375000,0.500000,-0.250000,40.000000,5.500000,-2,-1.500000,-25.000000,-2.657141,0.065550,-2.663901,0.065137,-2.355433,0.086635,-2.984706,0.048122,0.066361
10,6.000000,KETCHUM,T,N,1210,-2.250000,-1.125000,-3.900000,0,0,0.072337,0.254935,-0.001487,0.029146,0,1.500000,0,-1.391250,0.250000,2.000000,74.282852,0.125000,0.000000,1.933168,0.097959,0.619464,-2.625000,0.666667,0.500000,0.000000,-0.086412,33.500000,33.500000,-4.625000,-4.625000,1.500000,-0.250000,40.000000,2.500000,-2,2.500000,33.000000,-3.436104,0.031186,-2.741556,0.060565,-2.373406,0.085223,-3.120083,0.042286,0.054815
10,7.000000,WALTER THE MASON,T,N,1210,-7.250000,-3.625000,4.160000,0,0,0.055644,0.250000,-0.082719,-0.020321,1,2.500000,0,3.108750,-1.750000,1.000000,1.000000,0.125000,0.000000,1.726350,0.457143,1.664810,1.375000,1.555556,-0.500000,0.000000,-0.205460,-43.500000,-43.500000,1.625000,1.625000,2.500000,-0.250000,-13.450000,-9.500000,-2,-1.500000,-8.000000,-3.969780,0.018528,-3.844824,0.020942,-4.437241,0.011690,-3.447453,0.030845,0.020501
10,8.000000,OUTFIELDER,T,N,1210,1.125000,0.875000,4.920000,0,0,3.000000,1.610465,-0.041875,0.107334,0,3.500000,0,-3.891250,-1.750000,1.000000,1004.176877,0.125000,-0.015000,5.414045,0.946939,0.489650,4.375000,1.111111,-0.500000,0.500000,-0.005953,-14.500000,-14.500000,-0.375000,-0.375000,3.500000,0.750000,19.950000,1.500000,3,0.500000,32.000000,-1.938990,0.125759,-0.694904,0.332943,-0.645065,0.344102,-0.822897,0.305149,0.276988
